category,channel,referral_tier1_rate,referral_tier1_cap,referral_tier2_rate,referral_min,service_fee_pct,processing_pct,processing_flat,effective_date
mattresses,amazon,0.15,200.00,0.10,1.00,0.00,0.0000,0.00,2026-01-01
bedroom_furniture,amazon,0.15,200.00,0.10,1.00,0.00,0.0000,0.00,2026-01-01
furniture,amazon,0.15,200.00,0.10,1.00,0.00,0.0000,0.00,2026-01-01
bedding,amazon,0.15,0.00,0.15,0.30,0.00,0.0000,0.00,2026-01-01
home_decor,amazon,0.15,0.00,0.15,0.30,0.00,0.0000,0.00,2026-01-01
kitchen,amazon,0.15,0.00,0.15,0.30,0.00,0.0000,0.00,2026-01-01
appliances_large,amazon,0.08,300.00,0.15,0.30,0.00,0.0000,0.00,2026-01-01
appliances_small,amazon,0.15,0.00,0.15,0.30,0.00,0.0000,0.00,2026-01-01
electronics,amazon,0.08,100.00,0.08,0.30,0.00,0.0000,0.00,2026-01-01
default,amazon,0.15,0.00,0.15,0.30,0.00,0.0000,0.00,2026-01-01
mattresses,shopify,0.00,0.00,0.00,0.00,0.00,0.0290,0.30,2026-01-01
bedroom_furniture,shopify,0.00,0.00,0.00,0.00,0.00,0.0290,0.30,2026-01-01
furniture,shopify,0.00,0.00,0.00,0.00,0.00,0.0290,0.30,2026-01-01
bedding,shopify,0.00,0.00,0.00,0.00,0.00,0.0290,0.30,2026-01-01
home_decor,shopify,0.00,0.00,0.00,0.00,0.00,0.0290,0.30,2026-01-01
kitchen,shopify,0.00,0.00,0.00,0.00,0.00,0.0290,0.30,2026-01-01
default,shopify,0.00,0.00,0.00,0.00,0.00,0.0290,0.30,2026-01-01
mattresses,walmart,0.15,0.00,0.15,0.00,0.00,0.0000,0.00,2026-01-01
bedroom_furniture,walmart,0.15,0.00,0.15,0.00,0.00,0.0000,0.00,2026-01-01
furniture,walmart,0.15,0.00,0.15,0.00,0.00,0.0000,0.00,2026-01-01
bedding,walmart,0.15,0.00,0.15,0.00,0.00,0.0000,0.00,2026-01-01
home_decor,walmart,0.15,0.00,0.15,0.00,0.00,0.0000,0.00,2026-01-01
default,walmart,0.15,0.00,0.15,0.00,0.00,0.0000,0.00,2026-01-01
